ticket_id,col_index,facility_ja,availability,availability_meaning
jreast201,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jreast201,14,快速・普通 / ライナー,▲,乗車券のみ有効
jreast201,15,快速・普通 / 指定,△,条件付き利用可
jreast201,16,快速・普通 / 自由,○,乗車可
jreast201,17,ＢＲＴ,○,乗車可
jreast221,0,東海道新幹線,×,乗車不可
jreast221,1,東北･秋田･山形 上越･北陸新幹線 / グラン,▲,乗車券のみ有効
jreast221,2,東北･秋田･山形 上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効
jreast221,3,東北･秋田･山形 上越･北陸新幹線 / 普通車指定,△,条件付き利用可
jreast221,4,東北･秋田･山形 上越･北陸新幹線 / 普通車自由,○,乗車可
jreast221,5,東北･秋田･山形 上越･北陸新幹線 / Ａ寝台車,▲,乗車券のみ有効
jreast221,6,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効
jreast221,7,在来線特急/急行 / グリーン車,▲,乗車券のみ有効
jreast221,8,在来線特急/急行 / 普通車指定,△,条件付き利用可
jreast221,9,在来線特急/急行 / 普通車自由,○,乗車可
jreast221,10,在来線特急/急行 / グリーン車指定,▲,乗車券のみ有効
jreast221,11,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jreast221,12,快速・普通 / ライナー,▲,乗車券のみ有効
jreast221,13,快速・普通 / 指定,△,条件付き利用可
jreast221,14,快速・普通 / 自由,○,乗車可
jreast221,15,ＢＲＴ,○,乗車可
jreast24,0,東海道新幹線,×,乗車不可
jreast24,1,東北･秋田･山形･上越･北陸新幹線 / グランクラス,▲,乗車券のみ有効
jreast24,2,東北･秋田･山形･上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効
jreast24,3,東北･秋田･山形･上越･北陸新幹線 / 指定,△,条件付き利用可
jreast24,4,東北･秋田･山形･上越･北陸新幹線 / 自由,○,乗車可
jreast24,5,北海道新幹線,×,乗車不可
jreast24,6,在来線特急・急行 / 寝台車,▲,乗車券のみ有効
jreast24,7,在来線特急・急行 / グリーン車,▲,乗車券のみ有効
jreast24,8,在来線特急・急行 / 普通車指定,△,条件付き利用可
jreast24,9,在来線特急・急行 / 普通車自由,○,乗車可
jreast24,10,快速・普通 / グリーン車指定,▲,乗車券のみ有効
jreast24,11,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jreast24,12,快速・普通 / ライナー,▲,乗車券のみ有効
jreast24,13,快速・普通 / 指定,△,条件付き利用可
jreast24,14,快速・普通 / 自由,○,乗車可
jreast24,15,ＢＲＴ,○,乗車可
jreast38,0,東海道新幹線 / のぞみ,×,乗車不可
jreast38,1,東北・上越新幹線,×,乗車不可
jreast38,2,在来線特急・急行,×,乗車不可
jreast38,3,快速・普通 / ひかり/こだま,△,条件付き利用可
jreast38,4,快速・普通 / グリーン,▲,乗車券のみ有効
jreast38,5,快速・普通 / ライナー,▲,乗車券のみ有効
jreast38,6,快速・普通 / 指定,▲,乗車券のみ有効
jreast38,7,青い森鉄道,○,乗車可
jreast38,9,自由,○,乗車可
jrwest136,0,東海道新幹線,×,乗車不可
jrwest136,1,山陽新幹線 / グリーン車,▲,乗車券のみ有効
jrwest136,2,山陽新幹線 / 普通車指定,○,乗車可
jrwest136,3,山陽新幹線 / 普通車自由,○,乗車可
jrwest136,4,北陸新幹線 / グランクラス,×,乗車不可
jrwest136,5,北陸新幹線 / グリーン車,▲,乗車券のみ有効
jrwest136,6,北陸新幹線 / 普通車指定,○,乗車可
jrwest136,7,北陸新幹線 / 普通車自由,○,乗車可
jrwest136,8,在来線特急・急行 / 寝台車,×,乗車不可
jrwest136,9,在来線特急・急行 / グリーン車,▲,乗車券のみ有効
jrwest136,10,在来線特急・急行 / 普通車指定,○,乗車可
jrwest136,11,在来線特急・急行 / 普通車自由,○,乗車可
jrwest136,12,快速・普通 / グリーン車指定,▲,乗車券のみ有効
jrwest136,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jrwest136,14,快速・普通 / ライナー,▲,乗車券のみ有効
jrwest136,15,快速・普通 / 指定,○,乗車可
jrwest136,16,快速・普通 / 自由,○,乗車可
jrwest137,0,東海道新幹線,×,乗車不可
jrwest137,1,山陽新幹線 / グリーン車,▲,乗車券のみ有効
jrwest137,2,山陽新幹線 / 普通車指定,○,乗車可
jrwest137,3,山陽新幹線 / 普通車自由,○,乗車可
jrwest137,4,北陸新幹線 / グランクラス,×,乗車不可
jrwest137,5,北陸新幹線 / グリーン車,▲,乗車券のみ有効
jrwest137,6,北陸新幹線 / 普通車指定,○,乗車可
jrwest137,7,北陸新幹線 / 普通車自由,○,乗車可
jrwest137,8,在来線特急・急行 / 寝台車,×,乗車不可
jrwest137,9,在来線特急・急行 / グリーン車,▲,乗車券のみ有効
jrwest137,10,在来線特急・急行 / 普通車指定,○,乗車可
jrwest137,11,在来線特急・急行 / 普通車自由,○,乗車可
jrwest137,12,快速・普通 / グリーン車指定,▲,乗車券のみ有効
jrwest137,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jrwest137,14,快速・普通 / ライナー,▲,乗車券のみ有効
jrwest137,15,快速・普通 / 指定,○,乗車可
jrwest137,16,快速・普通 / 自由,○,乗車可
jrwest138,0,東海道新幹線,×,乗車不可
jrwest138,1,山陽新幹線 / グリーン車,△*2,条件付き利用可
jrwest138,2,山陽新幹線 / 普通車指定,△*2,条件付き利用可
jrwest138,3,山陽新幹線 / 普通車自由,○*2,乗車可
jrwest138,4,北陸新幹線 / グランクラス,×,乗車不可
jrwest138,5,北陸新幹線 / グリーン車,×,乗車不可
jrwest138,6,北陸新幹線 / 普通車指定,×,乗車不可
jrwest138,7,北陸新幹線 / 普通車自由,×,乗車不可
jrwest138,8,在来線特急・急行 / 寝台車,×,乗車不可
jrwest138,9,在来線特急・急行 / グリーン車,×,乗車不可
jrwest138,10,在来線特急・急行 / 普通車指定,×,乗車不可
jrwest138,11,在来線特急・急行 / 普通車自由,×,乗車不可
jrwest138,12,快速・普通 / グリーン車指定,×,乗車不可
jrwest138,13,快速・普通 / グリーン車自由,×,乗車不可
