ticket_id,passenger_type,channel,variant,price_jpy,price_raw
aoimori100,大人,,,700,大人：700円
aoimori02,大人,,,2270,"大人：2,270円"
aoimori02,小人,,,1140,"小人：1,140円"
igraoimori81,大人,,,5500,"大人：5,500円"
igraoimori81,小人,,,2750,"小人：2,750円"
aoimori92,大人,,,920,大人：920円
aoimori92,小人,,,460,小人：460円
aoimori94,大人,,,3570,"大人：3,570円"
aoimori94,小人,,,1790,"小人：1,790円"
aoimori101,大人,,,700,大人：700円
aoimori102,大人,,,2270,"大人：2,270円"
akitajukan01,大人,,,2500,"大人：2,500円"
akitajukan01,小人,,,1250,"小人：1,250円"
akitajukan01,大人,,,1500,"大人：1,500円"
akitajukan01,小人,,,750,小人： 750円
akitajukan01,大人,,,2400,"大人：2,400円"
akitajukan01,小人,,,1200,"小人：1,200円"
akitajukan02,大人,,,3500,"大人：3,500円"
akitajukan02,小人,,,1750,"小人：1,750円"
akitajukan03,大人,,,1500,"大人：1,500円"
akitajukan03,小人,,,750,小人：750円
akitajukan94,大人,,,2000,"大人：2,000円"
akitajukan92,大人,,,3400,"大人：3,400円"
yurikogen02,大人,,,1700,"大人：1,700円"
yurikogen02,小人,,,1000,"小人：1,000円"
yurikogen02,大人,,,1480,"大人：1,480円"
yurikogen02,小人,,,900,小人：900円
yurikogen01,大人,,,1100,"大人：1,100円"
yurikogen01,小人,,,500,小人：500円
igr93,大人,,,3000,"大人：3,000円"
igr93,小人,,,1500,"小人・中学生：1,500円"
igr97,大人,,,1000,"大人：1,000円"
igr98,大人,,,5000,"大人：5,000円"
sanriku11,大人,,,6500,"大人：6,500円"
sanriku11,小人,,,3250,"小人：3,250円"
sanriku25,大人,,,4000,"大人：4,000円"
sanriku25,小人,,,2000,"小人：2,000円"
sanriku12,大人,,,1700,"大人：1,700円"
sanriku12,小人,,,850,小人：850円
sanriku13,大人,,,2700,"大人：2,700円"
sanriku13,小人,,,1350,"小人：1,350円"
sanriku14,大人,,,2900,"大人：2,900円"
sanriku14,小人,,,1450,"小人：1,450円"
sanriku22,,,,1200,"中高生：1,200円"
sanriku23,,,,1700,"中高生：1,700円"
sanriku86,大人,,,500,大人：500円
sanriku86,小人,,,500,小人：500円
sanriku84,大人,,,1500,"大人：1,500円"
sanriku84,小人,,,500,小人：500円
sanriku85,大人,,,400,大人：400円
sanriku85,小人,,,400,小人：400円
flower02,,,,1000,"1,000円"
flower01,大人,,,1000,"大人：1,000円"
sendai01,大人,,,840,大人：840円
sendai01,小人,,,420,小人：420円
sendai01,大人,,,620,大人：620円
sendai01,小人,,,310,小人：310円
sendai03,大人,,,920,大人：920円
sendai03,小人,,,460,小人：460円
sendai92,大人,,,500,大人：500円
sendai92,小人,,,250,小人：250円
sendai92,大人,,,700,大人：700円
sendai92,小人,,,350,小人：350円
sendai93,大人,,,500,大人：500円
sendai93,小人,,,250,小人：250円
sendai93,大人,,,700,大人：700円
sendai93,小人,,,350,小人：350円
abukyu12,大人,,,1500,"大人：1,500円"
abukyu12,小人,,,750,小人：750円
abukyu01,大人,,,600,大人：600円
abukyu01,小人,,,300,小人：300円
abukyu05,大人,,,900,大人：900円
abukyu05,小人,,,450,小人：450円
abukyu102,,,,700,700円
abukyu85,大人,,,1000,"大人：1,000円"
abukyu85,小人,,,500,小人：500円
abukyu84,大人,,,900,大人：900円
abukyu84,小人,,,450,小人：450円
abukyu101,大人,,,1800,"大人：1,800円"
abukyu101,小人,,,900,小人：900円
abukyu92,大人,,,1000,"大人：1,000円"
abukyu92,小人,,,500,小人：500円
abukyu87,大人,,,700,大人：700円
abukyu97,,,,500,500円
fukusima03,大人,,,1000,"大人：1,000円"
fukusima01,大人,,,1300,"大人：1,300円"
fukusima01,小人,,,650,小人：650円
fukusima02,大人,,,1800,"大人：1,800円"
fukusima02,大人,,,4000,"大人：4,000円"
fukusima02,大人,,,6200,"大人：6,200円"
fukusima93,大人,,,1000,"大人：1,000円"
aizu01,大人,,,5150,"大人：5,150円"
aizu01,小人,,,2610,"小人：2,610円"
aizu02,大人,,,4190,"大人：4,190円"
aizu02,小人,,,2130,"小人：2,130円"
aizu96,大人,,,1100,"大人：1,100円"
aizu91,大人,,,3100,"大人：3,100円"
aizu91,小人,,,1550,"小人：1,550円"
jreast17,大人,,,870,大人：870円
jreast17,小人,,,430,小人：430円
tokyo01,大人,,,1720,"大人：1,720円"
tokyo01,小人,,,860,小人：860円
jreast18,大人,,,560,大人：560円
jreast18,小人,,,280,小人：280円
jreast071,大人,,,2600,"大人：2,600円"
jreast071,小人,,,1300,"小人：1,300円"
jreast10,大人,,,2950,"大人：2,950円"
jreast10,小人,,,1470,"小人：1,470円"
jreast12,大人,,,2850,"大人：2,850円"
jreast12,小人,,,1420,"小人：1,420円"
jreast37,大人,,,1450,"大人：1,450円"
jreast45,大人,,,2430,"大人：2,430円"
jreast45,小人,,,650,小人：650円
jreast46,大人,,,4170,"大人：4,170円"
jreast46,小人,,,2080,"小人：2,080円"
jreast13,大人,,,2720,"大人：2,720円"
jreast13,小人,,,1360,"小人：1,360円"
yagan01,,,龍王峡,1040,"1,040円"
yagan01,,,龍王峡,1180,"1,180円"
yagan01,,,龍王峡,1290,"1,290円"
yagan01,,,龍王峡,1530,"1,530円"
yagan01,,,龍王峡,520,520円
yagan01,,,龍王峡,590,590円
yagan01,,,龍王峡,650,650円
yagan01,,,龍王峡,770,770円
yagan01,,,川治温泉,730,730円
yagan01,,,川治温泉,1040,"1,040円"
yagan01,,,川治温泉,1180,"1,180円"
yagan01,,,川治温泉,1400,"1,400円"
yagan01,,,川治温泉,370,370円
yagan01,,,川治温泉,520,520円
yagan01,,,川治温泉,590,590円
yagan01,,,川治温泉,700,700円
yagan01,,,川治湯元,730,730円
yagan01,,,川治湯元,900,900円
yagan01,,,川治湯元,1180,"1,180円"
yagan01,,,川治湯元,1400,"1,400円"
yagan01,,,川治湯元,370,370円
yagan01,,,川治湯元,450,450円
yagan01,,,川治湯元,590,590円
yagan01,,,川治湯元,700,700円
yagan11,大人,,,2100,"大人：2,100円"
yagan11,小人,,,1060,"小人：1,060円"
yagan12,大人,,,4820,"大人：4,820円"
yagan12,小人,,,2420,"小人：2,420円"
yagan13,大人,,,2200,"大人：2,200円"
yagan13,小人,,,1100,"小人：1,100円"
kantetu02,大人,,,2300,"大人：2,300円"
kantetu02,小人,,,1150,"小人：1,150円"
mooka92,大人,,,1500,"大人：1,500円"
mooka92,小人,,,750,小人：750円
utsunomiya01,大人,,,1000,"大人：1,000円"
utsunomiya01,小人,,,500,小人：500円
utsunomiya01,大人,,,1300,"大人：1,300円"
watarase01,大人,,,1880,"大人：1,880円"
watarase01,小人,,,940,小人：940円
watarase01,大人,,,1500,"大人：1,500円"
watarase01,小人,,,700,小人：700円
watarase91,大人,,,2510,"大人：2,510円"
jomou02,大人,,,1300,"大人：1,300円"
jomou02,小人,,,650,小人：650円
jomou03,大人,,,500,大人：500円
jomou98,大人,,,1300,"大人：1,300円"
jomou91,大人,,,1000,"大人：1,000円"
jomou91,小人,,,500,小人：500円
jomou01,大人,,,1000,"大人：1,000円"
jomou01,小人,,,500,小人：500円
joshin11,大人,,,2260,"大人：2,260円"
joshin11,小人,,,1130,"小人：1,130円"
joshin12,大人,,,1140,"大人：1,140円"
joshin12,小人,,,570,小人：570円
joshin94,大人,,,1500,"大人：1,500円"
joshin94,小人,,,750,小人：750円
joshin93,大人,,,500,大人:500円
joshin93,小人,,,250,小人：250円
joshin98,,,,500,高校生：500円
joshin99,,販売額,高崎〜上州富岡,2600,"2,600円"
joshin99,,販売額,高崎〜上州富岡,3900,"3,900円"
joshin99,,販売額,高崎〜下仁田,3000,"3,000円"
joshin99,,販売額,高崎〜下仁田,4500,"4,500円"
minatosen11,大人,,,1000,"大人：1,000円"
minatosen11,小人,,,500,小人：500円
minatosen11,大人,,,1100,"大人：1,100円"
minatosen11,小人,,,550,小人：550円
minatosen13,大人,,,950,大人：950円
minatosen02,大人,,,1200,"大人：1,200円"
minatosen02,大人,,,1600,"大人：1,600円"
minatosen03,大人,,,1000,"大人：1,000円"
minatosen03,大人,,,1100,"大人：1,100円"
minatosen92,大人,,,600,大人：600円
minatosen92,大人,,,1000,"大人：1,000円"
minatosen91,大人,,,1500,"大人：1,500円"
kantetu94,大人,,,600,大人：600円
kantetu01,大人,,,2000,"大人：2,000円"
kantetu01,小人,,,1000,"小人：1,000円"
tukuba91,大人,,,2560,"大人：2,560円"
tukuba91,小人,,,690,小人：690円
tukuba92,大人,,,2420,"大人：2,420円"
tukuba92,小人,,,690,小人：690円
ryutetsu,大人,,,500,大人：500円
ryutetsu,小人,,,250,小人：250円
maihama01,大人,,1日フリーきっぷ,700,700円
maihama01,小人,,1日フリーきっぷ,350,350円
maihama01,大人,,2日フリーきっぷ,900,900円
maihama01,小人,,2日フリーきっぷ,450,450円
maihama01,大人,,3日フリーきっぷ,1200,"1,200円"
maihama01,小人,,3日フリーきっぷ,600,600円
maihama01,大人,,4日フリーきっぷ,1500,"1,500円"
maihama01,小人,,4日フリーきっぷ,750,750円
hokusou91,大人,,,1000,"大人：1,000円"
hokusou91,小人,,,500,小人：500円
hokusou95,大人,,,1420,"大人：1,420円"
hokusou95,小人,,,710,小人：710円
toyo81,大人,,,900,大人：900円
toyo81,小人,,,100,小人：100円
toyo95,大人,,,900,大人：900円
toyo95,小人,,,100,小人：100円
toyo92,大人,,,900,大人：900円
